C;Si;Mn;P;S;MG;Cr;Ni;Mo;Cu;Al;ZugfestigIst;DehnungIst;Dehngr02Ist
3,67;2,73;0,121;0,029;0,0072;0,045;0,023;0,006;0,001;0,095;0,019;428,1;26,0;297,2
3,49;2,56;0,125;0,028;0,0068;0,041;0,024;0,01;0,001;0,1;0,019;428,4;21,4;298,6
3,58;2,1;0,107;0,028;0,0085;0,048;0,031;0,016;0,001;0,057;0,018;428,6;23,9;296,3
3,58;2,1;0,107;0,028;0,0085;0,048;0,031;0,016;0,001;0,057;0,018;428,6;23,9;296,3
3,58;2,1;0,107;0,028;0,0085;0,048;0,031;0,016;0,001;0,057;0,018;428,6;23,9;296,3
3,58;2,1;0,107;0,028;0,0085;0,048;0,031;0,016;0,001;0,057;0,018;428,6;23,9;296,3
3,58;2,1;0,107;0,028;0,0085;0,048;0,031;0,016;0,001;0,057;0,018;428,6;23,9;296,3
3,58;2,1;0,107;0,028;0,0085;0,048;0,031;0,016;0,001;0,057;0,018;428,6;23,9;296,3
3,58;2,1;0,107;0,028;0,0085;0,048;0,031;0,016;0,001;0,057;0,018;428,6;23,9;296,3
3,65;2,57;0,101;0,029;0,0091;0,049;0,025;0,011;0,001;0,068;0,023;428,7;22,4;296,9
3,63;2,58;0,105;0,028;0,0073;0,049;0,027;0,011;0,001;0,073;0,019;429,1;23,9;298,2
3,59;2,14;0,106;0,026;0,0065;0,043;0,026;0,015;0,001;0,119;0,026;429,2;21,2;284,8
3,6;2,07;0,101;0,027;0,0085;0,042;0,021;0,021;0,004;0,065;0,016;429,3;24,5;295
3,6;2,07;0,101;0,027;0,0085;0,042;0,021;0,021;0,004;0,065;0,016;429,3;24,5;295
3,51;2,39;0,123;0,031;0,0103;0,037;0,025;0,013;0,001;0,072;0,018;429,4;23,2;289,2
3,55;2,07;0,091;0,028;0,0077;0,037;0,024;0,016;0,001;0,055;0,018;429,5;20,7;271,8
3,52;2,27;0,105;0,028;0,0079;0,043;0,023;0,013;0,001;0,081;0,018;429,6;21,9;288,5
3,58;2,63;0,143;0,045;0,006;0,053;0;0;0;0,034;0;430;21,5;295,8
3,54;2,12;0,093;0,029;0,008;0,044;0,018;0,017;0,001;0,078;0,018;430,4;20,3;300,5
3,55;2,49;0,105;0,027;0,0074;0,04;0,026;0,013;0,001;0,077;0,019;430,5;25,3;299,9
3,49;2,55;0,096;0,025;0,0059;0,042;0,022;0,009;0,001;0,06;0,018;431;23,3;300,2
3,53;2,6;0,096;0,026;0,0064;0,048;0,023;0,009;0,001;0,059;0,019;431,1;24,1;294,6
3,5;2,41;0,099;0,026;0,0076;0,039;0,025;0,015;0,001;0,087;0,017;431,1;23;293,3
3,51;2,53;0,112;0,029;0,0094;0,048;0,026;0,014;0,001;0,097;0,021;431,2;24,4;296,8
3,59;2,58;0,105;0,027;0,0069;0,048;0,026;0,011;0,001;0,072;0,018;431,4;24,6;299,2
3,62;2,53;0,1;0,029;0,0083;0,048;0,024;0,011;0,001;0,068;0,02;431,7;23,5;299,6
3,48;2,49;0,11;0,028;0,0071;0,043;0,027;0,016;0,001;0,093;0,024;432,1;17,8;290,9
3,52;2,57;0,126;0,03;0,01;0,047;0,029;0,016;0,001;0,117;0,023;432,8;22,6;303,3
3,58;2,43;0,119;0,027;0,0104;0,044;0,02;0,01;0,001;0,071;0,021;433,2;23;303,4
3,59;2,21;0,097;0,029;0,0083;0,047;0,017;0,015;0,002;0,061;0,016;433,3;24,3;301,9
3,59;2,21;0,097;0,029;0,0083;0,047;0,017;0,015;0,002;0,061;0,016;433,3;24,3;301,9
3,59;2,21;0,097;0,029;0,0083;0,047;0,017;0,015;0,002;0,061;0,016;433,3;24,3;301,9
3,59;2,21;0,097;0,029;0,0083;0,047;0,017;0,015;0,002;0,061;0,016;433,3;24,3;301,9
3,57;2,68;0,101;0,029;0,0078;0,045;0,027;0,012;0,001;0,069;0,023;433,4;22,4;304,2
3,47;2,56;0,101;0,028;0,0074;0,039;0,025;0,014;0,001;0,069;0,02;433,7;21,4;300,8
3,56;2,47;0,095;0,028;0,0086;0,039;0,019;0,011;0,001;0,05;0,017;433,8;25,2;302,6
3,56;2,47;0,095;0,028;0,0086;0,039;0,019;0,011;0,001;0,05;0,017;433,8;25,2;302,6
3,52;2,52;0,122;0,027;0,0075;0,044;0,026;0,012;0,001;0,096;0,019;434,2;24,3;301
3,71;2,13;0,089;0,028;0,0095;0,045;0,02;0,011;0,001;0,041;0,016;434,7;24,4;301,9
3,71;2,13;0,089;0,028;0,0095;0,045;0,02;0,011;0,001;0,041;0,016;434,7;24,4;301,9
3,58;2,4;0,11;0,028;0,0078;0,044;0,033;0,02;0,001;0,076;0,02;435,2;23,6;296,6
3,58;2,4;0,11;0,028;0,0078;0,044;0,033;0,02;0,001;0,076;0,02;435,2;23,6;296,6
3,55;2,48;0,107;0,028;0,0087;0,045;0,024;0,012;0,001;0,091;0,02;435,2;24,6;298,1
3,62;2,44;0,111;0,03;0,0091;0,048;0,021;0,016;0,001;0,082;0,017;435,5;20,2;295,1
3,53;2,53;0,126;0,03;0,0096;0,043;0,029;0,016;0,001;0,118;0,023;436,5;23,2;302,4
3,55;2,57;0,106;0,028;0,007;0,044;0,027;0,013;0,001;0,11;0,026;436,8;20,9;302,3
3,57;2,54;0,122;0,028;0,0081;0,047;0,023;0,01;0,001;0,1;0,018;437,9;24,4;309,1
3,7;2,11;0,094;0,028;0,0085;0,046;0,019;0,011;0,001;0,043;0,017;439,1;22,4;297,8
3,61;2,49;0,14;0,03;0,0137;0,039;0,021;0,01;0,001;0,059;0,022;440,8;16,1;300,4
3,53;2,61;0,112;0,031;0,0099;0,05;0,027;0,013;0,001;0,097;0,028;441,9;23,7;306,2
3,53;2,57;0,106;0,027;0,0085;0,042;0,026;0,015;0,001;0,112;0,026;448,9;24,2;317,2
3,57;2,51;0,108;0,029;0,0086;0,045;0,027;0,014;0,001;0,093;0,021;455,5;15,9;315,2
3,5;2,31;0,175;0,033;0,0132;0,043;0,029;0,014;0,001;0,089;0,017;464,5;18;323,8
3,5;2,31;0,175;0,033;0,0132;0,043;0,029;0,014;0,001;0,089;0,017;464,5;18;323,8
3,53;2,53;0,209;0,03;0,0095;0,046;0,018;0,014;0,001;0,354;0,017;554;12,2;362,1
3,61;2,22;0,146;0,028;0,0099;0,051;0,025;0,014;0,001;0,286;0,028;559,6;14;329,7
3,57;2,53;0,215;0,03;0,0065;0,044;0,024;0,012;0,001;0,413;0,02;563;10,2;358
3,46;2,35;0,246;0,03;0,0139;0,045;0,025;0,011;0,001;0,347;0,015;563,9;14,8;348
3,52;2,51;0,208;0,031;0,0097;0,046;0,018;0,014;0,001;0,355;0,017;570,6;14,4;363
3,6;2,53;0,205;0,03;0,0083;0,043;0,018;0,007;0,001;0,35;0,018;576;13,7;354,1
3,53;2,38;0,201;0,026;0,0071;0,043;0,015;0,007;0,001;0,359;0,015;587,2;13,9;356,1
3,48;2,35;0,228;0,026;0,0074;0,042;0,022;0,01;0,001;0,365;0,015;587,9;14,7;365,2
3,57;2,07;0,198;0,031;0,0097;0,039;0,024;0,02;0,002;0,345;0,016;597,1;12,2;341
3,44;2,43;0,199;0,026;0,008;0,049;0,025;0,01;0,001;0,37;0,029;603,7;14;363,2
3,5;2,22;0,167;0,029;0,01;0,043;0;0;0;0;0;604;12,1;339
3,52;2,24;0,185;0,028;0,01;0,038;0;0;0;0;0;606;11,3;345
3,48;2,5;0,218;0,029;0,0062;0,04;0,025;0,013;0,001;0,394;0,019;611,1;12,3;376,9
3,5;2,23;0,166;0,029;0,005;0,054;0;0;0;0;0;612;11,9;345
3,52;2,46;0,218;0,029;0,0061;0,043;0,024;0,013;0,001;0,385;0,02;618;10,7;380,7
3,57;2,25;0,168;0,029;0,005;0,048;0;0;0;0;0;618;11,7;343
3,68;2,24;0,177;0,028;0,007;0,047;0;0;0;0;0;624;12,8;348
3,5;2,35;0,203;0,029;0,0083;0,043;0,022;0,013;0,001;0,355;0,017;626,3;13,4;368,1
3,5;2,35;0,203;0,029;0,0083;0,043;0,022;0,013;0,001;0,355;0,017;626,3;13,4;368,1
3,6;2,24;0,169;0,029;0,006;0,05;0;0;0;0;0;627;11;345
3,6;2,5;0,207;0,03;0,0074;0,057;0,017;0,015;0,002;0,341;0,017;632,5;14,5;372,5
3,6;2,22;0,173;0,028;0,007;0,047;0;0;0;0;0;635;12,2;351
3,58;2,27;0,174;0,028;0,008;0,042;0;0;0;0;0;635;12,1;356
3,52;2,41;0,204;0,026;0,007;0,041;0,016;0,008;0,001;0,375;0,017;638,4;13,2;383,5
3,6;2,28;0,168;0,029;0,005;0,051;0;0;0;0;0;655;11,6;354
3,55;2,27;0,168;0,028;0,007;0,044;0;0;0;0;0;657;11,3;362
3,69;2,11;0,187;0,028;0,0093;0,049;0,02;0,009;0,001;0,345;0,018;667,9;12,1;375,8
3,59;2,41;0,237;0,028;0,011;0,048;0,019;0,01;0,001;0,845;0,016;676,3;4,4;391,5
3,63;2,18;0,199;0,026;0,0066;0,057;0,027;0,012;0,001;0,342;0,028;681,6;12,3;373,4
3,66;2,13;0,19;0,03;0,0091;0,055;0,027;0,015;0,001;0,35;0,021;688,1;12,2;375,3
3,57;2,39;0,247;0,028;0,0064;0,045;0,018;0,006;0,001;0,728;0,016;692;4,1;437
3,5;2,46;0,257;0,028;0,0073;0,044;0,021;0,02;0,004;0,796;0,017;694,1;3,6;453,8
3,59;2,51;0,215;0,029;0,0065;0,044;0,024;0,013;0,001;0,385;0,021;703,1;9,5;418,8
3,48;2,4;0,264;0,031;0,0119;0,065;0,025;0,011;0,001;0,719;0,024;711,7;4,3;402,8
3,55;2,43;0,267;0,03;0,0073;0,056;0,024;0,01;0,001;0,768;0,019;716,7;4,4;427,7
3,59;2,43;0,252;0,029;0,0082;0,055;0,02;0,012;0,002;0,76;0,018;723;4,3;430,6
3,56;2,23;0,202;0,028;0,0088;0,05;0,026;0,015;0,001;0,381;0,041;731,4;11;375,5
3,54;2,51;0,273;0,03;0,0093;0,049;0,024;0,011;0,001;0,69;0,021;733,7;4,7;451,8
3,46;2,38;0,249;0,03;0,0126;0,05;0,026;0,014;0,001;0,766;0,016;739,1;5,7;429
3,46;2,38;0,249;0,03;0,0126;0,05;0,026;0,014;0,001;0,766;0,016;739,1;5,7;429
3,55;2,36;0,28;0,026;0,0079;0,058;0,016;0,005;0,001;0,743;0,016;752,2;5,6;438,1
3,62;2,51;0,261;0,03;0,0075;0,05;0,027;0,014;0,001;0,738;0,02;755,5;5,7;440,3
3,45;2,46;0,242;0,026;0,0088;0,049;0,027;0,013;0,001;0,726;0,019;765;5,9;453,1
3,49;2,38;0,27;0,026;0,0064;0,05;0,024;0,012;0,001;0,744;0,017;765,7;5,8;439,7
3,66;2,18;0,239;0,026;0,0053;0,051;0,028;0,014;0,001;0,709;0,021;768,9;7,7;406,4
3,6;2,28;0,27;0,028;0,0087;0,058;0,028;0,017;0,001;0,802;0,021;769,2;6,5;426,5
3,52;2,41;0,246;0,029;0,008;0,048;0,018;0,007;0,001;0,726;0,016;774,5;6,5;454,8
3,49;2,32;0,284;0,027;0,0107;0,055;0,022;0,01;0,001;0,841;0,017;850,5;6,9;468,7
3,54;2,41;0,283;0,026;0,007;0,058;0,018;0,297;0,001;0,821;0,017;851;6,7;475,8
